YearsExperience,EducationLevel,Salary
13.5,PhD,72098
8.0,Master,70676
15.9,Master,81266
4.2,PhD,111745
1.9,,48634
8.5,Bachelor,92842
17.2,Master,120000
15.3,Master,104818
10.8,PhD,76853
11.9,Master,105961
3.5,PhD,107406
17.0,Master,100559
,Master,118727
,PhD,80438
9.9,Bachelor,108716
19.3,PhD,115210
17.7,Master,81093
13.2,Master,88346
8.1,Master,89482
12.7,PhD,108011
11.9,PhD,113230
,Bachelor,45301
6.8,PhD,103589
8.7,PhD,109977
11.9,PhD,96355
9.1,PhD,103191
6.0,Master,53784
15.5,Master,80684
11.1,PhD,114257
2.3,Bachelor,117418
8.0,Bachelor,65068
17.8,Bachelor,93111
,Bachelor,113163
7.1,PhD,107859
18.8,PhD,101437
2.5,Master,45955
19.3,Bachelor,98666
5.7,Bachelor,97715
1.2,Bachelor,96421
9.2,Master,113282
7.8,Master,77454
11.2,Bachelor,120000
16.1,PhD,99656
17.0,Master,93863
8.6,PhD,120000
9.2,Master,103549
3.8,Master,109259
1.9,Bachelor,77410
13.2,Bachelor,82501
2.2,Master,73428
14.9,PhD,68327
11.2,,83606
4.8,PhD,87992
11.3,PhD,63862
4.5,Bachelor,115962
,Bachelor,81368
16.2,Bachelor,92602
9.8,Master,73553
3.8,Bachelor,40000
14.8,,120000
,Bachelor,64524
15.0,Bachelor,96249
10.1,PhD,97897
,Bachelor,86041
17.2,Bachelor,87902
14.5,PhD,65106
1.6,PhD,74144
6.6,PhD,84359
17.5,Bachelor,106082
1.3,PhD,80765
11.4,PhD,63776
14.8,Master,52290
12.8,Master,106344
15.5,Master,71605
14.8,Master,48860
14.1,PhD,92832
,Master,69094
13.3,,87284
8.6,PhD,63221
10.0,PhD,119920
14.6,Bachelor,62504
,Bachelor,67827
6.2,Master,120000
7.5,Bachelor,61860
18.7,Bachelor,100710
12.0,Master,64703
4.4,Master,52769
13.6,PhD,103756
19.8,Bachelor,120000
16.6,Bachelor,83720
15.2,Master,95747
5.0,Bachelor,82711
,PhD,79291
11.0,Master,92861
17.9,Master,66126
7.3,Master,66265
2.2,Bachelor,78217
10.0,PhD,109216
6.1,Bachelor,77427
14.6,Master,97431
19.2,PhD,70728
14.1,Bachelor,69228
17.9,Bachelor,107633
9.6,PhD,107774
15.7,Bachelor,79729
17.0,Master,71554
14.5,Master,120000
10.6,Master,48943
12.9,Bachelor,97136
14.3,Bachelor,100688
5.8,Master,97695
16.4,Master,120000
19.1,PhD,100291
9.8,Bachelor,66730
14.3,Master,73127
15.0,Bachelor,70427
13.6,Bachelor,50937
11.4,PhD,119041
17.8,Master,52053
9.5,Master,96210
2.2,PhD,100223
17.0,Bachelor,107489
13.8,Bachelor,92727
17.1,Master,109815
3.6,Bachelor,73698
1.6,Bachelor,102296
18.8,PhD,74417
,Bachelor,111022
16.4,Master,61943
16.6,PhD,74244
14.5,Master,84880
,PhD,104807
13.7,Master,111369
17.9,Bachelor,60068
,PhD,64002
8.9,Master,69398
9.4,Master,81180
2.6,Master,81474
17.9,Bachelor,78928
17.5,Bachelor,100814
20.0,Bachelor,78319
,PhD,120000
15.3,Bachelor,63332
4.9,Bachelor,91035
,Master,88086
13.3,PhD,72313
18.1,Master,78529
16.8,Master,83672
,Master,64463
17.5,Bachelor,83856
17.5,Master,83808
2.2,Master,58450
17.1,PhD,89161
12.5,,74685
,Master,56775
2.1,PhD,56638
13.9,Master,89746
7.2,PhD,109219
9.9,Master,113962
14.0,PhD,47665
18.3,Bachelor,40675
16.7,Bachelor,51524
9.6,Master,78742
8.4,Master,91255
5.6,Bachelor,78151
8.1,Bachelor,107222
3.1,Bachelor,92747
19.5,Bachelor,116763
11.9,Bachelor,54063
3.4,PhD,52961
7.7,PhD,70798
11.4,,55377
11.1,Bachelor,114671
,Master,59740
,PhD,94474
6.2,PhD,71362
1.3,Bachelor,60030
2.5,PhD,52207
12.0,PhD,58962
,Bachelor,85280
1.8,PhD,120000
8.2,Master,90027
12.8,Bachelor,91283
3.1,Master,46976
7.0,Bachelor,112988
8.9,PhD,53080
,Bachelor,113800
10.6,PhD,89411
2.6,PhD,42713
1.9,PhD,76423
10.9,Master,120000
5.7,Bachelor,65572
2.8,Bachelor,57745
,PhD,59858
18.4,Master,90383
14.8,Master,58590
16.5,PhD,104424
17.6,Bachelor,115798
19.5,Bachelor,117000
15.5,Master,52302
12.6,PhD,97334
7.9,Bachelor,48503
4.5,PhD,88603
14.0,Master,107189
19.9,Master,89194
,PhD,116816
14.7,Master,108968
10.4,Bachelor,64492
9.2,PhD,101248
8.8,Master,46101
10.6,PhD,72108
8.0,Bachelor,61010
,Bachelor,116837
17.6,Master,81816
17.8,Bachelor,98179
5.3,PhD,108800
18.0,PhD,106556
7.5,Bachelor,100149
,PhD,62882
14.8,PhD,102116
6.8,,79777
,Bachelor,89997
,Bachelor,42217
14.7,Bachelor,65846
7.2,PhD,120000
13.0,Bachelor,68230
13.5,Master,74207
14.9,Bachelor,56624
18.0,Bachelor,56087
9.2,,57813
4.2,Master,86021
7.1,Master,120000
9.2,Bachelor,69357
,Master,73663
1.2,Bachelor,75447
7.0,Master,75869
15.8,Master,120000
13.7,Master,82566
14.9,Bachelor,81504
16.4,Master,100496
15.9,Master,108972
14.0,Bachelor,90845
,PhD,63615
19.7,Master,55862
11.8,Bachelor,107321
4.9,Master,111032
6.6,PhD,45332
14.2,Master,110542
18.6,PhD,97194
4.4,Master,82258
2.6,Master,44577
17.7,PhD,116794
18.4,Bachelor,63389
6.3,Bachelor,99361
8.2,PhD,46111
13.5,Master,110261
7.3,Bachelor,40000
17.7,PhD,68220
3.0,Master,67285
,Master,55048
,PhD,80863
6.4,PhD,66179
3.1,PhD,120000
2.2,PhD,84556
15.4,PhD,88855
,PhD,53865
18.4,PhD,81385
8.0,Master,58127
13.7,Bachelor,111769
5.3,PhD,78826
5.6,Bachelor,98384
11.9,Bachelor,74555
11.7,Master,120000
15.6,Master,68107
15.4,Bachelor,51259
13.7,Bachelor,92536
9.5,Bachelor,115989
17.9,PhD,82894
,Bachelor,43529
19.8,Master,81416
16.6,Bachelor,110507
1.8,Master,51954
7.1,Bachelor,49007
11.9,PhD,106430
14.7,PhD,114319
11.5,PhD,116015
15.9,Master,120000
6.4,Bachelor,54108
4.5,PhD,88881
,Bachelor,85477
11.9,Bachelor,107444
14.1,PhD,112714
7.2,PhD,117961
12.7,Bachelor,81541
2.0,Master,43804
2.9,PhD,72143
14.3,Master,97793
8.0,Master,66357
13.8,Bachelor,113006
16.8,PhD,67014
,,43706
4.3,Bachelor,80085
10.2,Bachelor,95916
14.9,Master,79744
15.7,Bachelor,96748
15.9,Bachelor,87814
5.3,Bachelor,61765
4.7,Bachelor,44062
12.2,PhD,101424
15.1,Master,73325
7.1,PhD,120000
3.0,Master,92682
14.6,Bachelor,78182
,PhD,70764
4.2,Master,59549
3.8,PhD,97502
7.0,PhD,90729
12.3,Master,109142
7.8,PhD,69144
1.4,Master,70474
2.8,,54742
6.5,PhD,81504
13.5,Bachelor,81034
2.9,PhD,120000
11.7,Bachelor,102544
3.3,Bachelor,113559
5.0,PhD,67483
4.3,PhD,54841
2.3,Bachelor,56134
13.8,Bachelor,66371
9.8,Bachelor,94035
16.8,Master,69113
2.9,Bachelor,115130
3.7,Master,119426
,PhD,69829
15.6,PhD,109734
6.8,PhD,94513
8.8,Master,52679
6.7,Master,120000
2.5,,59046
18.8,Bachelor,110586
11.4,Master,76893
16.0,Master,66925
,Master,88563
10.8,Bachelor,120000
2.7,Bachelor,57198
,PhD,56694
4.0,Master,73624
8.9,PhD,47733
13.0,PhD,102970
15.9,Bachelor,110195
14.0,PhD,120000
13.8,Bachelor,101458
3.8,Master,113252
,Bachelor,94693
1.8,Bachelor,118660
,Master,59409
19.1,Master,85713
6.0,Master,120000
2.7,Master,99828
10.0,Master,116405
,Bachelor,51772
11.5,,120000
1.9,Master,89799
19.5,PhD,59682
16.7,Bachelor,45903
3.5,PhD,59952
18.5,Bachelor,117485
9.6,PhD,91574
8.1,Master,120000
9.8,Bachelor,76044
16.9,PhD,120000
13.5,Master,82843
2.1,Bachelor,59757
19.2,Master,47067
,Bachelor,120000
15.2,Master,71393
13.1,Master,60268
4.6,PhD,40000
4.2,Master,67673
17.5,Bachelor,120000
,Master,87869
13.4,Bachelor,91028
,Master,115103
14.8,,89848
10.1,Master,114440
6.5,Master,71139
7.9,Bachelor,120000
17.3,Bachelor,52509
9.9,Master,102131
,Master,93970
18.8,Bachelor,64761
16.1,Bachelor,77488
2.1,Bachelor,72109
20.0,PhD,62143
14.2,Bachelor,92430
4.0,PhD,120000
5.5,Bachelor,81631
14.2,PhD,90492
15.8,Master,51178
,Master,46373
5.9,,86474
6.8,Master,117558
12.4,PhD,112600
4.3,Bachelor,65859
3.0,Master,85687
13.9,Master,83246
15.8,Master,105352
10.5,Master,100559
7.9,Bachelor,115178
9.2,Bachelor,46258
8.4,Master,120000
19.2,Bachelor,47095
15.6,,79863
5.0,,119662
8.3,Bachelor,76037
,Bachelor,51690
12.6,Bachelor,70651
9.9,Bachelor,93992
16.4,PhD,57801
,PhD,82921
10.6,PhD,70587
17.2,Master,111303
15.3,Bachelor,50573
15.8,PhD,95786
19.2,Master,79964
,Master,95889
6.1,Bachelor,51828
17.9,Master,102638
15.7,PhD,107714
18.6,Master,54683
2.2,Bachelor,108632
,PhD,114839
,Master,47904
,PhD,92117
4.0,Master,90379
3.4,PhD,45715
1.2,Master,78653
13.0,Master,120000
7.8,Master,87229
3.0,PhD,118062
7.1,PhD,95615
4.2,Bachelor,40789
18.9,Master,57940
7.1,Bachelor,97434
7.3,PhD,86467
17.0,Bachelor,52309
13.3,PhD,92469
14.5,Master,116308
13.1,Bachelor,104882
19.0,Bachelor,63981
4.9,PhD,65272
19.8,Master,120000
16.8,PhD,115295
12.2,Master,63679
13.6,Master,118196
13.3,Master,63369
2.1,Bachelor,58266
,PhD,63621
19.3,Bachelor,62379
11.2,PhD,112057
8.2,Bachelor,83164
15.5,PhD,71674
11.0,PhD,106858
1.3,Bachelor,104791
15.0,Bachelor,51083
14.9,PhD,102370
4.1,Master,98065
19.2,Bachelor,109025
5.3,Bachelor,95706
9.7,Bachelor,59995
3.2,Master,64334
12.5,Bachelor,114026
8.1,Master,110728
7.7,PhD,67524
16.7,PhD,56462
1.2,PhD,112716
16.2,Bachelor,80942
11.9,Master,71295
19.7,PhD,74144
12.2,Bachelor,77775
2.1,Master,75483
2.0,,76386
17.8,Master,55766
17.0,Master,119624
7.6,,111253
,,120000
10.3,Master,120000
19.4,PhD,102728
19.0,Master,58111
19.7,PhD,49515
17.5,Bachelor,51104
18.3,Master,73889
5.1,Bachelor,81481
16.8,PhD,120000
14.5,PhD,87185
19.3,Bachelor,89485
,Bachelor,103672
2.6,Master,55390
12.4,Bachelor,120000
14.0,PhD,92288
5.2,PhD,70080
8.5,PhD,120000
12.4,Bachelor,94196
8.1,Master,79397
8.1,PhD,98374
3.5,,109239
18.9,Master,60300
15.3,PhD,120000
1.0,Bachelor,116644
,Master,96171
15.1,Master,108189
1.2,Bachelor,109638
,Master,76168
12.5,Bachelor,120000
,Master,96989
15.8,Bachelor,74589
9.1,Master,105081
3.9,PhD,87438
19.6,Master,53783
5.6,PhD,108819
14.6,Bachelor,92072
,PhD,99931
7.3,Bachelor,58162
9.4,Master,89430
4.7,Master,112515
9.5,,120000
,Bachelor,118837
11.6,Master,113904
13.6,Master,66072
2.2,PhD,112103
17.6,PhD,72288
4.5,Master,52501
5.3,Master,54374
13.6,PhD,115898
9.9,PhD,54487
10.5,Master,58613
3.4,Bachelor,66220
16.3,PhD,96361
12.7,,120000
3.6,Bachelor,73283
,PhD,88890
16.4,Master,54734
11.8,Bachelor,74730
3.1,Bachelor,50710
,Master,75237
5.6,Master,93440
10.8,Master,72996
17.0,PhD,112319
9.3,PhD,120000
9.2,Bachelor,50855
18.2,PhD,57041
11.9,Master,105547
,Bachelor,62468
,Master,71765
12.5,PhD,72656
11.9,Bachelor,109818
8.5,Bachelor,91542
19.8,Bachelor,54151
17.8,Bachelor,40000
15.2,Bachelor,62195
11.2,Bachelor,70048
9.8,PhD,76290
4.5,Master,105892
,Master,64731
15.7,Master,76596
9.6,Bachelor,76558
17.8,PhD,54432
3.8,Bachelor,115754
10.7,PhD,53182
13.3,Bachelor,59211
10.8,Master,53191
,Master,81619
19.8,Master,120000
3.2,Master,50524
3.5,PhD,76943
3.5,Bachelor,40566
13.9,Bachelor,102372
8.1,Bachelor,91165
14.9,PhD,110625
8.7,Bachelor,82985
12.9,,120000
15.6,PhD,85504
11.4,PhD,92164
11.3,Master,107636
2.7,Master,86896
8.8,Master,60312
11.4,Master,67331
9.8,Master,47702
18.1,Bachelor,84450
18.2,PhD,96656
16.6,Bachelor,47662
,PhD,85411
,PhD,120000
,,64638
5.4,Master,57451
7.5,PhD,120000
,Master,91502
7.3,PhD,56278
9.8,Bachelor,84698
19.2,PhD,113256
7.0,PhD,88813
18.1,Master,96353
5.3,Bachelor,84978
4.6,Master,106635
10.9,Bachelor,75395
13.8,Master,95320
1.8,Master,120000
5.2,Bachelor,71779
9.7,Master,114536
7.3,Master,69955
14.5,PhD,67866
10.7,PhD,120000
4.0,Master,49238
18.0,PhD,70710
6.6,PhD,71251
14.9,Master,82565
15.8,PhD,106305
19.3,Bachelor,62485
10.5,PhD,56544
12.7,PhD,82750
7.4,PhD,88276
13.9,PhD,96201
,PhD,94122
9.3,PhD,89422
17.3,Bachelor,61542
2.0,Bachelor,102629
17.8,Bachelor,61796
,PhD,59515
10.6,,105414
10.3,Bachelor,67072
7.9,Master,90722
19.9,Master,81960
3.1,Bachelor,76867
12.2,Bachelor,68521
14.0,Bachelor,120000
18.8,Bachelor,71817
15.8,Bachelor,92911
13.2,Bachelor,116762
3.2,PhD,90737
8.1,Bachelor,84144
3.6,Master,84165
17.7,Bachelor,87489
15.2,Master,110347
15.4,Master,48947
13.4,Master,112120
10.6,Master,83563
3.8,Master,118707
7.3,,44577
,Master,120000
14.8,PhD,60914
4.0,PhD,111043
14.3,,82579
14.2,PhD,102538
9.7,Master,91676
3.6,Master,50767
7.0,PhD,91867
,Bachelor,65633
14.3,Master,93707
3.2,,107073
,Master,54820
15.5,Master,85051
,PhD,98823
14.7,Bachelor,67048
13.7,Bachelor,120000
15.2,Master,91271
4.6,Master,57186
4.0,PhD,43733
5.5,Master,91685
8.0,Bachelor,78693
16.1,Bachelor,51078
15.0,PhD,44739
18.6,Master,102527
2.1,Bachelor,89678
1.2,Master,53221
14.3,Bachelor,90297
6.3,Master,114394
7.3,Master,120000
11.4,Master,120000
2.9,Master,106857
13.2,Bachelor,63760
7.2,PhD,66503
13.0,Bachelor,76593
16.8,PhD,99124
4.3,PhD,117366
18.7,PhD,62502
11.1,Master,84092
18.5,,108206
,Bachelor,75416
12.5,Bachelor,85427
8.7,PhD,62913
15.7,Master,120000
12.5,,73538
10.4,Bachelor,86064
18.3,PhD,58580
,Master,81586
5.2,Bachelor,58453
12.6,PhD,61632
12.9,Bachelor,59986
9.3,Master,44152
,Master,92474
19.2,,70598
14.9,PhD,116190
,Master,58391
5.0,Bachelor,46602
19.5,Master,109131
14.8,Master,49069
18.4,Master,48322
6.8,Master,58356
15.1,PhD,110502
14.6,PhD,120000
6.6,Master,83784
11.5,Master,97070
12.9,PhD,91814
10.1,PhD,120000
16.7,Bachelor,54803
16.8,Bachelor,106893
17.2,Bachelor,68505
16.3,PhD,78876
10.3,Master,62056
8.2,Master,100179
16.8,Master,100107
10.3,Master,89813
5.7,Bachelor,91633
10.6,Master,85989
3.7,Master,103658
14.1,Master,60480
,,82270
6.0,Bachelor,56099
19.2,Master,81694
15.8,PhD,111283
16.0,Bachelor,100080
12.9,Bachelor,93333
16.9,Bachelor,68653
15.4,Master,104951
12.4,,65196
19.3,Bachelor,120000
4.6,Bachelor,71726
18.9,PhD,110172
8.6,Bachelor,108632
,PhD,119475
3.3,Bachelor,78628
11.3,PhD,65740
12.6,Master,74433
20.0,Bachelor,75150
19.5,PhD,101969
19.4,Bachelor,120000
7.6,Bachelor,52536
19.8,PhD,93788
9.7,Master,116736
17.2,Master,49388
,Bachelor,79894
10.6,Master,107677
19.4,Bachelor,114758
19.0,PhD,95827
14.0,Master,46792
16.2,Master,57790
4.4,PhD,91833
14.7,Bachelor,52394
12.7,Master,52220
2.7,PhD,103579
3.2,PhD,104931
3.1,Bachelor,111252
14.8,Bachelor,53510
3.7,Bachelor,60208
9.9,PhD,105006
7.8,Master,105860
11.5,PhD,105285
14.4,,120000
,PhD,118866
10.8,PhD,78526
9.8,Master,72986
8.6,Master,94629
,PhD,105596
7.3,Bachelor,65171
5.9,PhD,107342
15.1,Master,56922
7.8,Bachelor,108373
17.1,Bachelor,49737
7.2,Master,81364
14.3,PhD,120000
1.9,PhD,55458
8.3,PhD,86137
7.5,Master,52583
16.5,PhD,115895
19.4,Master,120000
9.8,PhD,120000
16.7,Master,116408
14.3,PhD,105218
19.4,PhD,54770
16.4,Bachelor,68698
2.5,PhD,77542
14.6,Master,93786
11.2,Master,113360
,Bachelor,53644
5.8,PhD,56195
18.5,Bachelor,89147
,Bachelor,59308
16.2,PhD,100739
19.7,PhD,95012
16.3,Master,110464
1.2,Master,48247
6.5,Bachelor,119108
1.6,Bachelor,46261
2.8,Master,70949
5.2,PhD,92916
10.6,Bachelor,49948
17.1,PhD,59545
,Master,46667
12.7,PhD,81987
,Master,113544
10.5,Bachelor,87072
17.9,Master,100204
9.6,,69105
6.3,PhD,49164
18.4,Bachelor,40000
8.4,Master,115986
10.6,,50852
7.2,Bachelor,120000
13.6,,47773
19.9,Master,101368
1.5,Bachelor,106875
18.1,Master,73164
1.1,PhD,93578
7.9,PhD,84942
4.2,Master,65377
15.4,PhD,62709
2.0,Master,107561
11.5,Master,59879
6.6,Master,71408
3.5,Master,120000
,Master,76984
5.1,PhD,72262
5.2,Master,120000
6.2,PhD,79503
12.1,Master,73260
13.5,Bachelor,114742
1.3,Master,68207
5.6,Bachelor,52412
,PhD,78702
7.3,Bachelor,95833
,Master,50726
16.0,PhD,82818
12.9,Bachelor,63362
7.4,Bachelor,59587
14.3,Bachelor,92523
17.0,,65904
12.3,Bachelor,88112
15.9,PhD,88457
15.2,PhD,67551
11.9,PhD,69636
6.9,Bachelor,56646
15.2,,52199
4.9,Master,104406
15.8,Master,100742
16.3,PhD,66275
16.6,Bachelor,99032
10.0,Bachelor,120000
4.7,Master,51664
2.9,Bachelor,75878
15.1,Master,106197
17.8,Bachelor,50276
13.4,Master,111857
3.7,Bachelor,115103
18.8,Bachelor,59050
19.8,Bachelor,111744
9.2,Bachelor,77243
12.3,PhD,59767
15.8,Bachelor,84808
15.0,Bachelor,51390
,Bachelor,90948
3.2,,52301
,Master,93302
14.1,PhD,88967
17.9,Master,83805
,Master,61589
19.6,PhD,65964
10.7,Master,62160
16.8,PhD,106246
9.1,Bachelor,54479
9.0,Bachelor,92252
5.8,Bachelor,62644
16.5,Bachelor,88796
19.7,Master,91087
5.9,Bachelor,78545
2.1,PhD,94723
16.5,Master,81016
12.8,PhD,113090
19.2,Bachelor,109355
5.8,PhD,87472
2.3,Master,116360
,,109362
2.6,Master,94663
6.0,PhD,48091
3.4,Master,84374
5.3,Bachelor,69508
3.0,Bachelor,80468
19.1,PhD,94257
6.3,PhD,100115
,,84388
18.1,Bachelor,96183
13.9,PhD,49203
12.7,PhD,62857
14.4,,83817
16.7,Bachelor,80403
17.7,PhD,112618
13.2,Master,47289
17.9,Master,63144
11.2,Bachelor,90617
6.3,PhD,89651
17.7,PhD,62277
11.3,Master,69509
18.2,Bachelor,55771
1.8,Master,40893
8.6,Master,49037
19.0,PhD,98008
5.7,PhD,107961
18.9,Bachelor,65158
19.1,PhD,55903
17.8,Bachelor,94924
11.7,Master,110938
13.3,Bachelor,49410
,Master,73740
15.7,PhD,66337
,PhD,62433
19.7,Bachelor,99052
14.0,Bachelor,120000
19.5,Bachelor,102627
2.1,Master,117553
3.6,Master,78522
9.6,Master,109733
8.3,Master,55603
15.9,Master,55268
,Master,93626
19.5,Master,70699
7.0,PhD,66955
9.1,Bachelor,102164
6.2,PhD,79324
12.0,Master,90741
2.1,Bachelor,67497
,PhD,104023
15.2,PhD,62222
4.5,,79681
5.5,PhD,44962
16.1,Master,110373
,Master,91462
9.3,PhD,59760
1.4,PhD,57776
7.6,PhD,67998
14.3,Master,85092
2.7,Bachelor,88685
17.9,PhD,67347
18.3,Bachelor,111350
3.0,PhD,113446
19.8,Bachelor,47020
6.7,PhD,75572
,Master,87410
1.1,PhD,93280
8.8,PhD,46991
,Master,67180
7.3,Master,50958
,PhD,93744
14.6,,100875
7.7,Bachelor,61071
15.0,PhD,77424
18.9,Master,74957
2.8,PhD,111537
6.8,Bachelor,51849
9.8,Master,101163
10.5,Master,109925
11.3,Bachelor,112895
6.7,PhD,98191
13.7,PhD,59584
13.3,Bachelor,108507
12.0,,103353
3.2,Master,94703
10.1,PhD,47259
7.8,Master,45604
10.3,Master,104076
18.5,Master,120000
10.1,PhD,108782
1.3,Bachelor,104071
9.3,Master,86076
16.6,Bachelor,69844
,Bachelor,100049
,Master,103872
,Master,95041
9.8,Bachelor,120000
,Master,76635
20.0,Master,48697
13.2,Bachelor,108038
14.2,,54175
10.3,Bachelor,106713
7.7,Master,105198
16.4,Master,77818
,Master,102410
19.9,,71668
9.7,Bachelor,104577
2.3,Master,56687
14.0,PhD,99750
1.9,Bachelor,93671
5.8,Master,77877
7.7,Bachelor,99887
15.1,Bachelor,115821
10.4,Master,102183
1.5,Master,117061
,Master,84798
8.8,PhD,91712
18.5,Bachelor,62197
10.5,Master,120000
,PhD,48131
5.2,Master,72666
15.5,Bachelor,72999
14.7,Bachelor,76314
18.2,Bachelor,107924
1.6,Bachelor,73721
,Bachelor,109463
13.9,PhD,77460
2.8,PhD,113213
8.8,Bachelor,83960
18.9,PhD,77941
9.3,Master,77184
19.7,,75027
2.1,Master,61364
14.6,PhD,75436
12.0,Bachelor,61664
10.5,PhD,73465
19.4,Master,103902
3.5,Master,79198
18.0,PhD,109328
14.1,Master,118798
5.9,PhD,78854
,PhD,84429
9.2,Master,55414
16.5,Bachelor,72914
8.4,PhD,102808
17.2,Bachelor,59423
13.1,,60843
3.7,Bachelor,70355
13.3,Master,112084
4.6,PhD,97038
,PhD,120000
4.2,Master,111436
1.4,Master,43978
5.0,Master,50257
,,75681
10.1,Master,85415
10.5,Master,91755
5.7,,48995
14.0,PhD,57466
14.4,Master,44748
7.8,Master,115188
17.7,Master,111498
13.2,PhD,60234
14.5,PhD,68213
6.3,PhD,47463
1.0,PhD,113831
,Master,118909
16.6,Master,69561
3.3,PhD,72377
,PhD,69418
,Bachelor,77793
13.4,Master,105599
17.3,Master,96747
3.7,PhD,120000
9.2,PhD,56593
2.8,Master,104568
8.4,PhD,73178
1.3,PhD,75347
18.1,Bachelor,101223
11.0,PhD,120000
17.1,Bachelor,103309
2.1,Bachelor,104226
,Bachelor,100842
5.9,PhD,70146
8.3,PhD,112137
16.3,PhD,111381
8.3,PhD,89008
4.9,Master,86821
2.2,Bachelor,99615
2.5,PhD,102072
,PhD,82458
9.5,PhD,115316
14.8,Bachelor,115821
14.0,PhD,60567
3.6,Master,107160
3.7,,68867
,Bachelor,57288
14.7,Master,100112
8.2,Bachelor,119141
2.5,PhD,42353
1.2,Master,110518
6.5,Bachelor,77365
1.2,Master,107744
5.4,Bachelor,110679
9.0,PhD,116633
3.3,PhD,107815
,Bachelor,99378
18.0,Master,60210
12.1,,70683
18.8,Bachelor,68780
7.6,Bachelor,105743
13.9,Master,59217
4.9,PhD,57152
12.7,Master,118134
3.5,PhD,99022
1.0,PhD,117835
18.7,Master,60394
11.5,Master,76559
18.6,Bachelor,64387
7.3,Bachelor,48561
7.2,PhD,70717
8.6,PhD,86461
14.4,Master,55828
11.8,Bachelor,91908
18.6,Master,70407
1.5,,47219
14.5,Master,100585
7.3,Bachelor,104664
4.4,Bachelor,109751
10.7,Bachelor,86979
10.6,Bachelor,120000
3.6,Bachelor,110213
4.8,Bachelor,90281
8.8,PhD,84654
8.8,Master,54279
7.0,Master,104006
3.8,Bachelor,89343
1.1,Bachelor,119590
,PhD,100964
18.9,Bachelor,120000
10.2,PhD,110268
19.9,Bachelor,120000
13.8,Master,80529
2.3,PhD,45843
3.2,PhD,107286
,Master,110663
13.0,Master,61431
17.0,Master,115684
18.1,Master,95867
9.5,Bachelor,49675
1.9,Bachelor,77540
4.6,Master,118780
2.3,Master,88536
4.6,Master,106667
8.8,Master,45780
3.2,Master,97230
4.2,PhD,120000
9.5,Master,85905
7.5,Master,67145
9.9,Master,101334
9.2,PhD,120000
13.2,PhD,61346
18.8,PhD,82446
3.0,PhD,50878
2.9,Bachelor,84288
17.2,Master,92214
,Bachelor,117085
15.6,Bachelor,73963
5.1,PhD,99124
16.7,PhD,120000
18.6,,66704
13.1,PhD,105140
3.0,PhD,105621
18.0,Bachelor,72136
16.1,PhD,65870
15.3,Master,73258
1.7,PhD,63018
16.2,PhD,76073
3.6,Master,119809
5.2,Bachelor,79598
12.0,Master,106929
6.0,PhD,61394
13.6,Master,120000
12.6,Bachelor,114538
3.1,PhD,110487
13.5,PhD,76717
18.6,PhD,89459
4.1,Bachelor,94245
12.3,Bachelor,111327
7.5,Bachelor,113281
9.7,PhD,53526
6.5,PhD,114368
7.7,Bachelor,112145
1.5,Bachelor,81925
19.6,PhD,65789
12.9,Master,113334
10.5,Master,94008
8.3,Bachelor,110674
11.2,PhD,116799
,Bachelor,48745
7.8,Bachelor,94755
9.8,Bachelor,76584
6.2,Master,118748
4.4,Bachelor,55893
11.6,Bachelor,60117
17.0,,120000
3.9,Bachelor,53418
1.6,Master,100510
,Bachelor,67077
19.6,Master,89955
16.7,Bachelor,93374
12.3,Bachelor,82977
,Bachelor,120000
9.5,Bachelor,50308
19.7,PhD,73284
6.6,Bachelor,77445
5.6,PhD,92254
13.1,Master,77123
8.2,Bachelor,42950
,Bachelor,120000
6.8,Master,76341
,Master,72997
6.2,Master,74933
2.0,PhD,59540
18.3,PhD,57120
17.8,Master,55659
19.4,Bachelor,58073
14.6,Bachelor,67125
,Master,70546
11.6,PhD,97314
3.4,Master,88903
4.6,PhD,51070
,Bachelor,114722
17.9,PhD,108962
,PhD,120000
18.5,Bachelor,76097
10.9,Master,111832
14.6,Bachelor,47272
3.1,Bachelor,100297
6.1,PhD,64265
19.2,Master,65794
,PhD,84144
6.6,,88625
4.8,,86008
3.5,PhD,51356
5.4,Master,75190
13.2,Bachelor,120000
9.7,Bachelor,119340
11.5,Bachelor,92844
3.3,PhD,88595
16.2,Master,56586
15.9,Master,66315
1.4,Bachelor,65639
8.3,PhD,86395
2.3,Bachelor,106836
16.1,Bachelor,78605
15.0,Master,61784
18.1,PhD,87099
5.5,Master,53110
9.7,Master,105665
4.5,PhD,59177
8.1,PhD,83322
,Master,99478
2.0,Master,52731
14.6,Master,48516
11.3,Bachelor,87262
16.8,Master,48013
6.2,Bachelor,84603
18.2,,114045
20.0,Master,73325
18.5,PhD,98451
15.8,Master,120000
16.4,Bachelor,87809
11.9,PhD,120000
4.6,Bachelor,50631
13.9,Bachelor,102198
,PhD,106037
19.7,Master,116749
11.3,Bachelor,53019
6.2,Bachelor,65564
14.0,PhD,57284
19.6,PhD,120000
4.4,PhD,73458
,Master,116409
11.3,Master,71709
4.2,Master,54348
1.4,Master,66563
7.4,,96619
17.4,PhD,116813
1.8,Master,72940
9.1,PhD,120000
15.5,Bachelor,64871
19.1,Bachelor,100030
19.7,Master,108608
9.0,Bachelor,64440
19.1,PhD,49480
1.7,PhD,73506
15.2,Bachelor,49011
13.2,Master,112002
